100 100
0 0 2176.9108609435048
0 1 750.4566506509317
0 2 -686.6359179688236
0 3 -104.0543357159952
0 4 1361.1223451573337
0 5 -128.67582508054363
0 6 996.2956581182541
0 7 -216.30313166810222
0 8 -1113.2722088016678
0 9 -65.88663330008873
0 10 -97.35942824249764
0 11 962.0662302615059
0 12 1188.7811883374827
0 13 -1393.0800687782578
0 14 -480.2493330433807
0 15 150.91986683019456
0 16 1657.963161413768
0 17 73.84921916116133
0 18 72.16661213976829
0 19 1734.7190617360031
0 20 910.318705710629
0 21 -1696.8496960734662
0 22 -987.8718588823457
0 23 -1348.857158976011
0 24 -3019.853224477749
0 25 -1454.118609660996
0 26 691.5256779648978
0 27 402.81620402042165
0 28 -904.0607058913702
0 29 -2533.5501311391863
0 30 -3016.3172349255
0 31 753.6931182435778
0 32 626.519321758069
0 33 473.8686782625582
0 34 1496.3066193978484
0 35 -250.16118471994577
0 36 -1672.890675632822
0 37 1377.3426720823045
0 38 1390.3817480463606
0 39 796.672596294944
0 40 1492.7348998228133
0 41 1336.2295275499666
0 42 184.07359222685773
0 43 55.302843817163534
0 44 -407.207517803355
0 45 -990.135699757908
0 46 549.2637531499335
0 47 381.05248308823
0 48 -472.9861008121743
0 49 1059.3724201823015
0 50 -1444.8671021989205
0 51 2345.2229453356254
0 52 -109.99018872967453
0 53 -837.5119694796693
0 54 -189.0624931875421
0 55 -446.7001282656415
0 56 2239.537651143641
0 57 1861.4972431597353
0 58 1063.8269247462292
0 59 -1138.7062797139802
0 60 -403.63183815293235
0 61 369.8025331191131
0 62 1043.8927689344737
0 63 277.5191614412304
0 64 2837.445032442797
0 65 1557.4048763921483
0 66 -695.9860808318032
0 67 568.1405069706857
0 68 -2662.4427769129525
0 69 -2214.1147498539417
0 70 574.8338442748988
0 71 1363.0954445200102
0 72 1230.6253406255646
0 73 2756.072542774762
0 74 293.1778545442018
0 75 306.06832795676814
0 76 2932.1572890066664
0 77 2543.609624839431
0 78 2850.8163616795273
0 79 -1412.1624927337907
0 80 4466.420118765243
0 81 -2233.3985203335606
0 82 685.6432420079689
0 83 -1574.083951102276
0 84 -3200.537460231243
0 85 -3054.496763049536
0 86 1173.4418555354748
0 87 -859.6993658446293
0 88 1367.905594957159
0 89 -1015.8727621340164
0 90 1023.7484173094629
0 91 -352.43163307258715
0 92 -2605.685679481352
0 93 -298.78499072711793
0 94 -2182.0658566704737
0 95 171.62322934074757
0 96 1156.6721473731916
0 97 1084.8973050884133
0 98 1571.8735877041395
0 99 -673.5681315420809
1 0 1554.7349929578456
1 1 826.9679390590694
1 2 345.6355660662427
1 3 -2126.9097318597437
1 4 170.32978513475427
1 5 1889.0182296668831
1 6 -344.4012090170557
1 7 -374.02604929045293
1 8 -1545.1678174737117
1 9 1141.955513585193
1 10 2114.816307770682
1 11 -1536.123401460798
1 12 1696.5378283598707
1 13 -432.2390076899821
1 14 289.49880495190826
1 15 540.3292708637315
1 16 -1861.7575067464634
1 17 630.9432508754247
1 18 -2082.3275226666274
1 19 -230.04136846610209
1 20 -489.52347532060463
1 21 -808.368851324365
1 22 1893.6141858284493
1 23 -590.867954751185
1 24 -653.6385185998945
1 25 1542.9010183985747
1 26 356.8323744020004
1 27 -1345.5657860302285
1 28 260.2329547019899
1 29 208.07786835918742
1 30 -903.3623222317896
1 31 1195.7609928784295
1 32 -2556.2690512486683
1 33 595.2159762977509
1 34 592.7892409036338
1 35 -27.259447111500123
1 36 -108.85221568867271
1 37 -1195.6363464336666
1 38 -1585.099810209373
1 39 -159.40681927743412
1 40 1096.4506489594653
1 41 -607.8635658878837
1 42 3239.078430011451
1 43 217.36982348402114
1 44 -1713.3307439512948
1 45 838.5862628745123
1 46 575.3314959568818
1 47 -2445.650484645578
1 48 -2075.807624401484
1 49 704.8925706318597
1 50 1010.2189646073689
1 51 -2678.8819786884173
1 52 -1680.1061466343767
1 53 -561.3124138259384
1 54 151.01391438339624
1 55 -1258.6979193848206
1 56 -375.416130425334
1 57 -1551.2077815784469
1 58 -2227.2818688632988
1 59 1029.8211136621223
1 60 -2135.2921443557702
1 61 -320.26449288589276
1 62 -1134.5749126668861
1 63 -773.9925627523199
1 64 -895.452705785533
1 65 -515.9088176305485
1 66 -1060.7502554812515
1 67 -1140.2842849678268
1 68 -506.084591753247
1 69 603.9584173571113
1 70 483.56994270649574
1 71 -1146.2804683701693
1 72 4341.7093742463185
1 73 -255.9544127650496
1 74 -226.9573088067737
1 75 973.0974209200396
1 76 -1689.2373494160342
1 77 125.33679546790776
1 78 3503.051057577273
1 79 1055.7404071362828
1 80 591.6639206779688
1 81 -411.7618803029507
1 82 646.824803233004
1 83 -650.9493164696637
1 84 -226.84270416911852
1 85 -683.9421731355831
1 86 -2696.450300999095
1 87 -2523.6447416435994
1 88 -794.6025998274752
1 89 -1977.2107519713877
1 90 1330.2066617613934
1 91 -314.18434012375934
1 92 443.7780608956099
1 93 884.3722906565184
1 94 -639.5348124382444
1 95 -2077.112200273736
1 96 -1007.0975513513267
1 97 -96.53998935973425
1 98 1568.6228920286276
1 99 1013.6969711396116
2 0 -1634.9483681391737
2 1 834.3180090504052
