10 10
0 1 5.730995155091189
0 2 0.2762994661992775
0 5 -19.96469010465438
0 6 -2.713322535378902
0 7 1.6354078479576257
0 8 11.976622154869416
1 0 -7.402102530328449
1 1 -15.221093673209312
1 4 32.718726364181684
1 5 -4.589058876291774
1 6 -16.66326434011094
1 9 1.5869994051100729
2 0 5.949564669499724
2 2 -9.220599638215006
2 4 -3.6825999409272807
2 7 -4.740127496028898
2 8 4.635562354804642
2 9 4.860159933438413
3 0 3.678463940027887
3 2 15.636020123273957
3 4 -8.51961640874046
3 6 20.6806224244298
3 7 14.248054349195716
3 8 15.197745569007385
3 9 0.0106744658268019
4 0 16.56829235816392
4 1 22.76065460089622
4 2 11.591994154976923
4 3 6.890054086636879
4 4 -17.144510074432798
4 5 -13.003268793612996
4 6 9.555512117002047
4 7 4.587470060420234
4 9 -5.02168412173864
5 0 2.7283741363200043
5 3 -1.3580879923397313
5 4 -19.9545605596032
5 6 -6.734523948000092
5 7 -10.40925719301035
5 8 -8.163078553291262
5 9 -5.276148010248014
6 0 6.070713080040966
6 1 3.437651085485965
6 2 -9.76402750801657
6 3 12.362375034306302
6 4 -0.18334923217431304
6 5 -7.957792149614032
6 8 -16.242850923573748
6 9 21.53372927718707
7 0 -23.943604109702974
7 1 1.0077672798317618
7 2 -1.999019018526991
7 5 -14.266692061865507
7 6 -8.518862121033198
7 9 8.076940896223203
8 1 -7.147003962065561
8 2 14.247239894156923
8 3 11.449544869418396
8 4 -4.171942421850028
8 5 34.8043573534453
8 6 -13.943148022142882
8 7 20.053601480878484
8 9 -19.106148040865232
9 1 -19.877360893930987
9 3 -7.050458252727265
9 4 -16.091403235492205
9 5 -9.984104005254096
9 9 6.411080077365008
